,pop,phage,immune,vulnerable,richness,phageRichness,pS,b,a,c,beta,adsp,d,m,l,popinit,phageinit
659,2917313.7420706297,0.0,2917313.7420706297,0.0,5.0,7.0,1e-06,1.3,10000000.0,0.006360481379182216,189.0,1.2991753751855177e-08,0.1,2.458827902927103e-08,0.9,862494.2327921313,7207627.544305667
660,2738282.8851564215,0.0,2738282.8851564215,0.0,2.0,1.0,1e-06,1.3,10000000.0,0.0201320857571983,148.0,6.013126729754858e-08,0.1,5.126712759712721e-09,0.9,1340868.7442706083,1726631.3440367815
661,2979811.543539552,0.0,2979811.543539552,0.0,2.0,5.0,1e-06,1.3,10000000.0,0.001552958189219556,88.0,3.447055152535669e-09,0.1,4.991671776202719e-09,0.9,1698957.3586843289,1772216.6452185127
662,2974082.9754413874,0.0,2974082.9754413874,0.0,8.0,564.0,1e-06,1.3,10000000.0,0.00199361727373944,163.0,4.9058387215808235e-08,0.1,4.4011519044616483e-07,0.9,2979367.817766523,2661128.769062922
663,2892933.128177551,0.0,2892933.128177551,0.0,9.0,225.0,1e-06,1.3,10000000.0,0.008235913208628822,55.0,3.9150887428665585e-08,0.1,8.202811190604684e-07,0.9,5502115.690656134,209005.7681657434
664,2885017.1856481503,0.0,2136257.0060292296,748417.067386631,10.0,4.0,1e-06,1.3,10000000.0,0.01181998449236848,180.0,1.4298297922138636e-09,0.1,2.087313595706413e-09,0.9,717775.0436202186,6871061.951181205
665,2869012.962175373,16538.093978766996,2514354.539506009,354478.9450464095,17.0,9.0,1e-06,1.3,10000000.0,0.011439417032845749,184.0,1.028679878392497e-09,0.1,2.931050946475715e-09,0.9,456425.25111862377,3574184.2593472833
666,2765408.1432595598,782751.1959520861,1937096.6871142213,826944.1633039004,20.0,25.0,1e-06,1.3,10000000.0,0.024466059578918703,53.0,2.490827963877385e-09,0.1,3.185495810674639e-08,0.9,167097.9475262204,127651.41898900001
667,2238614.6617332413,0.0,2238614.6617332413,0.0,4.0,2.0,1e-06,1.3,10000000.0,0.05856810294359679,150.0,3.620794033794106e-09,0.1,2.7282860951044055e-09,0.9,1091869.0258731837,5984503.34774849
668,162.93374795326363,539785885.7061701,125.88418735097753,0.0,13.0,1258.0,1e-06,1.3,10000000.0,0.0043606427035013835,191.0,6.75575929517358e-08,0.1,9.032360892244484e-07,0.9,1612956.2965119618,132490.89224267623
