,id,pop,phage,immune,susceptible,richness,phageRichness,pS,b,a,c,f,beta,adsp,d,m,l,popinit,phageinit,nodf,Q,m_final,m_diff
101,000686d4-2c25-11ec-a5b6-fbfaf7786e70,183457.59214485317,1392185.535411634,94488.38841261597,88969.2037322372,9,825,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,61.36805,0.2899115,9.99340844227271e-07,8.993408442272711e-07
102,00078eb2-2c25-11ec-a5b6-fbfaf7786e70,188037.6294412766,1004051.4666591894,86044.00706880221,101993.62237247439,6,723,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,59.90212,0.3634911,9.903346969449006e-07,8.903346969449006e-07
103,0008969a-2c25-11ec-a5b6-fbfaf7786e70,189184.26769101046,507772.2068082606,117518.9115854741,71665.35610553637,14,781,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,59.49495,0.411959,9.8090105768061e-07,8.8090105768061e-07
104,00099a86-2c25-11ec-a5b6-fbfaf7786e70,188912.29472098054,860998.191589957,83174.38171285471,105737.91300812583,14,1168,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,64.08269,0.2113919,1e-06,9e-07
105,000aa340-2c25-11ec-a5b6-fbfaf7786e70,190501.6718157154,296370.639074426,120600.40569066718,69901.26612504823,12,702,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,62.23507,0.3101278,9.350120372474163e-07,8.350120372474163e-07
106,000ba790-2c25-11ec-a5b6-fbfaf7786e70,189295.72885532043,795361.034996309,82418.7082060444,106877.02064927603,16,1003,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,56.2647,0.298631,9.999999999999997e-07,8.999999999999997e-07
107,000cac12-2c25-11ec-a5b6-fbfaf7786e70,187415.73650154262,1108676.7231124286,80995.09705714147,106420.63944440115,18,1066,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,61.36376,0.2817111,9.999999999999997e-07,8.999999999999997e-07
108,000db030-2c25-11ec-a5b6-fbfaf7786e70,183368.3793563073,1658914.8557675567,83463.03949808127,99905.33985822603,12,1228,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,66.66622,0.3754127,1.0000000000000002e-06,9.000000000000002e-07
109,000eb548-2c25-11ec-a5b6-fbfaf7786e70,188031.3099117276,1004061.7251978297,85869.42224879027,102161.88766293734,14,1095,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,65.06056,0.3828547,9.999999792423456e-07,8.999999792423456e-07
110,000fbd1c-2c25-11ec-a5b6-fbfaf7786e70,170886.98526196054,2654315.4028956173,127015.51365464313,43871.471607317406,13,1093,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,61.24634,0.3251939,9.999999999999995e-07,8.999999999999995e-07
111,0010c130-2c25-11ec-a5b6-fbfaf7786e70,183324.57109355164,1127132.7336652107,124439.68001997458,58884.89107357706,14,1301,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,58.8076,0.2374077,9.999999999999997e-07,8.999999999999997e-07
112,0011c530-2c25-11ec-a5b6-fbfaf7786e70,188037.3466026663,1003368.5272793225,86758.86790122309,101278.47870144322,13,789,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,58.2166,0.4319281,2.3334303612637165e-07,1.3334303612637165e-07
113,0012c8d6-2c25-11ec-a5b6-fbfaf7786e70,185022.84110464613,1364367.3201632665,83639.81463165289,101383.02647299324,14,1139,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,63.32057,0.2563852,9.999999999999997e-07,8.999999999999997e-07
114,0013cc18-2c25-11ec-a5b6-fbfaf7786e70,188400.74321312047,639245.5508086802,115081.78859560726,73318.95461751321,11,839,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,56.81237,0.4209058,6.790951703963208e-07,5.790951703963208e-07
115,0014cff0-2c25-11ec-a5b6-fbfaf7786e70,187943.08212841637,1016825.8531027979,85088.07147662634,102855.01065179003,12,775,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,55.63433,0.306214,9.99999983649481e-07,8.999999836494809e-07
116,0015db0c-2c25-11ec-a5b6-fbfaf7786e70,184252.94046492045,1053241.7710691313,138500.25571079444,45752.68475412601,12,685,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,56.92159,0.3079136,1.1864133474613881e-07,1.864133474613881e-08
117,0016e574-2c25-11ec-a5b6-fbfaf7786e70,184055.66491637728,1087870.816861315,129377.421662407,54678.243253970286,12,843,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,69.57854,0.3116647,8.711780824057976e-07,7.711780824057976e-07
118,0017e960-2c25-11ec-a5b6-fbfaf7786e70,183955.52624320332,1270200.4497039018,118133.7053805825,65821.82086262082,14,1371,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,68.81783,0.3983087,1e-06,9e-07
119,0018ed56-2c25-11ec-a5b6-fbfaf7786e70,177938.04484510684,2073713.5822739406,114189.61519479967,63748.42965030717,17,855,1e-06,1.2,1000000.0,0.01,0.0,100,1e-08,0.1,1e-07,0.9,100000.0,10000000.0,64.56644,0.3780661,9.679413153713243e-07,8.679413153713243e-07
