,pop,phage,immune,vulnerable,richness,phageRichness,pS,b,a,c,beta,adsp,d,m,l,popinit,phageinit
537,4022332.023910151,0.0,4022332.023910151,0.0,8.0,50.0,1e-06,1.5,10000000.0,0.06517786507265654,82.0,3.356882860146299e-08,0.030819448957703277,6.654952482664194e-08,0.9,6622725.35246737,2500314.904879886
538,4982979.004564533,0.0,4982979.004564533,0.0,10.0,280.0,1e-06,1.5,10000000.0,0.0011347330290310113,94.0,1.651950241902424e-08,0.27077778399502506,5.461319790137775e-07,0.9,155711.31192689843,919343.4723600843
539,4955160.762919603,0.0,4955160.762919603,0.0,5.0,2.0,1e-06,1.5,10000000.0,0.002989282472026497,80.0,1.0552740944454654e-08,0.059952098722372615,1.1267634396072385e-09,0.9,814336.3968562122,3414268.039168026
540,4365148.983566686,21692.334747100944,4309677.011496626,55157.79046170891,32.0,4.0,1e-06,1.5,10000000.0,0.042816034028371024,98.0,1.8018963144595315e-09,0.16750746712333967,2.3206101684931714e-09,0.9,164441.82347372372,276293.4685788508
541,4513497.827392281,43631.050037747074,4388665.346298343,124408.06650978976,39.0,563.0,1e-06,1.5,10000000.0,0.0332871847384337,197.0,1.0462441874553668e-09,0.2352074822845307,4.326183254130291e-07,0.9,440085.5888562695,465076.09912181407
542,4816275.143701861,0.0,4816275.143701861,0.0,13.0,5.0,1e-06,1.5,10000000.0,0.012248323753209382,110.0,2.7896513460426023e-09,0.18037887404454928,3.108027868376592e-09,0.9,149113.1205760618,8014573.8307314
543,4955322.767385987,0.0,4955322.767385987,0.0,103.0,103.0,1e-06,1.5,10000000.0,0.0029784821742678083,151.0,7.01641031655329e-08,0.2244305545503798,7.93441669806402e-09,0.9,7959921.344112556,3016337.8888942176
544,4409938.809322427,0.0,4409938.809322427,0.0,2.0,1.0,1e-06,1.5,10000000.0,0.0393374127118381,124.0,1.554026225971603e-08,0.03377745569340627,3.6861442480822045e-09,0.9,141941.51721190865,3514271.62969107
545,4593531.948719617,0.0,4593531.948719617,0.0,7.0,11.0,1e-06,1.5,10000000.0,0.027097870085358817,55.0,1.8389306019365878e-08,0.26412936612229815,2.3950614487451338e-08,0.9,101766.01391724334,128311.92876769711
546,4158014.234935167,0.0,4158014.234935167,0.0,4.0,2.0,1e-06,1.5,10000000.0,0.0561323843376556,116.0,6.976207517096958e-08,0.022117635491740204,2.2648289262563595e-08,0.9,216938.438764226,668312.427951535
547,3597772.2848690995,0.0,3597772.2848690995,0.0,9.0,4.0,1e-06,1.5,10000000.0,0.09348184767539322,112.0,1.8467509122271377e-09,0.15285390913645522,4.604911314632315e-09,0.9,966075.6488189867,8615531.090105902
548,3653301.720752879,0.0,3653301.720752879,0.0,8.0,5.0,1e-06,1.5,10000000.0,0.08977988528314132,196.0,1.681318320586302e-09,0.041738670470061356,3.9408384041696406e-09,0.9,233088.69220030127,7610031.809686587
549,4608896.351935625,0.0,4608896.351935625,0.0,19.0,434.0,1e-06,1.5,10000000.0,0.026073576537624987,157.0,2.656789805763012e-08,0.22952557524730172,1.508509352177629e-07,0.9,7548386.634049464,237875.50868828484
550,4972361.258964314,0.0,4972361.258964314,0.0,3.0,153.0,1e-06,1.5,10000000.0,0.0018425827357122365,167.0,1.0489729997145062e-08,0.04834626683124588,4.824038935533089e-07,0.9,200643.03675102908,9534934.989776615
551,4885839.550094208,0.0,4885839.550094211,0.0,15.0,17.0,1e-06,1.5,10000000.0,0.0076106966603860324,141.0,8.012835387224111e-08,0.09664239192926906,1.2502223511630396e-08,0.9,1150715.6352275035,504206.43093025294
552,4513344.629844404,0.0,4513344.629844404,0.0,2.0,3.0,1e-06,1.5,10000000.0,0.03244369134370636,56.0,5.739910583165293e-08,0.05132048789650514,1.0759346304308053e-08,0.9,570495.4304709252,1018051.1801852809
553,4463978.621795987,0.0,4463978.621795987,0.0,6.0,2.0,1e-06,1.5,10000000.0,0.03573475854693421,156.0,9.236738644267652e-09,0.20633229342196788,1.4442234641550942e-09,0.9,978907.0661483924,763197.9945110092
554,3789819.9601395475,0.0,3789819.9601395475,0.0,7.0,2.0,1e-06,1.5,10000000.0,0.0806786693240301,121.0,3.916575466580559e-09,0.2720290283937716,1.1004570649639786e-09,0.9,216495.52115374108,926516.1406568413
555,4959594.167454789,0.0,4959594.167454789,0.0,11.0,75.0,1e-06,1.5,10000000.0,0.002693722169680401,76.0,4.247621737828651e-09,0.049097164557367866,1.2253333084343097e-07,0.9,221686.712306148,403367.3433106628
