,pop,phage,immune,vulnerable,richness,phageRichness,pS,b,a,c,beta,absp,d,m,l,popinit,phageinit
818,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.7193546235372272,1182074.4851253415,0.030470586575084377,172.0,2.461995318490658e-09,0.049454661376471865,0.0,0.5277199989595195,2944262.512939402,1088414.9985997814
819,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.8177877730518313,552572.8450771855,0.0011231860575865989,57.0,2.552365661875603e-08,0.18860921206094766,0.0,0.28320429597346675,6382200.768760838,114636.9278131935
820,42076.4506972336,5279793.272223089,0.0,42076.4506972336,1.0,1.0,0.0,1.5176172307442077,202315.9680035839,0.004688328059242558,89.0,5.8461923084113736e-08,0.21646857973964737,0.0,0.9968466484374897,158299.34920900755,144973.36011837368
821,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.727677538710581,2764955.9891088777,0.0012892866525319698,124.0,2.736870596355113e-08,0.020490354483363938,0.0,0.23518132070427855,6859860.7911227755,119317.21627105054
822,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9356413775445166,21423115.96215853,0.0018026907647498004,98.0,8.222175078454508e-09,0.2880986662459409,0.0,0.0682413036779217,108739.74713868575,905291.4150978334
823,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.9742942895554845,12617844.406450665,0.04858591942259065,146.0,1.3863963318189959e-09,0.0832689511105041,0.0,0.8226396377286607,299987.9721463579,240849.38697964328
824,290483.46112809895,0.0,0.0,290483.46112809895,1.0,1.0,0.0,1.0749030818727208,3878124.288998267,0.0037622410395899528,112.0,1.0229736234720119e-09,0.10276310375175254,0.0,0.6618474213762103,440552.831335744,213934.96300661177
825,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.8299839094627837,2917253.375565952,0.012199868408221777,188.0,1.8983969402825024e-09,0.03085797104971015,0.0,0.4265890650755073,668738.8758935875,680574.1116357731
826,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.4975532262924973,731661.1644237495,0.011902958477626142,154.0,1.9814748107985575e-08,0.15528755655294715,0.0,0.8927328429265438,264956.56108612317,204286.93273342378
827,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.4815469330432354,264617.7211449577,0.04097301280451557,191.0,7.2752403101928e-08,0.08307494328783288,0.0,0.2128650682580937,3984006.8120352323,176561.76714121187
828,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.969213058305768,631093.1767144616,0.002027902287438693,161.0,5.7233219222366235e-09,0.19561021024587077,0.0,0.38772675728985173,7396795.746014826,247104.2780805541
829,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.280514419419201,2513269.3137670676,0.0040470784487450905,63.0,4.378555699577751e-08,0.11760064391158476,0.0,0.10956992681043753,5885812.662854704,1126295.519201371
830,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.2336238684591052,71856009.10066149,0.06439031776366994,181.0,1.4907285768250516e-08,0.15324243124706163,0.0,0.11866300953081921,4388730.326191719,748576.0929185842
831,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.5326614781887131,5083777.970244759,0.0025907224965562715,181.0,1.3414567146390794e-08,0.1922983822820947,0.0,0.40516238798858584,301845.39982163924,1466317.697001256
832,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.7061138386521097,64048068.34041047,0.0014198849653131122,85.0,5.6294076592676575e-08,0.22714191109943382,0.0,0.6377443968133039,124457.6586757106,1645003.9938473601
833,275987.71321434696,0.0,0.0,275987.71321434696,1.0,1.0,0.0,1.968424728855279,284986.2307224645,0.0013829035670797944,97.0,1.719221039014216e-09,0.16614741052568874,0.0,0.5667220102780494,2499099.0881130556,521529.4388802969
834,174220.56319409405,0.0,0.0,174220.56319409405,1.0,1.0,0.0,1.0756411527906917,2303251.0321089323,0.020873047069331997,67.0,3.1242077660682986e-09,0.22505493275526206,0.0,0.31841297103594546,191057.262732979,368609.3411515031
835,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.6544076161516224,89514884.11739624,0.0070151145989970215,87.0,4.1961059334075715e-09,0.20059123233970783,0.0,0.4147317084837441,7086873.649889582,235348.70993661252
836,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.8872667502551186,10191048.169656504,0.05784036305673098,67.0,1.7184184070630149e-09,0.2409476053492185,0.0,0.36094521704946747,304034.20565607375,1286126.644230849
837,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.8478361798763907,34850170.89670369,0.002150173146286017,162.0,6.084374956703816e-08,0.21765663549762806,0.0,0.4548408209254554,287264.34877412184,5027845.819245702
